word	attestation_count	sources
AESCHNIDES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AETHUSE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AETHUSES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFFOURCHAGE	2	Lefff 3.4 ; Unitex DELA français
AFFOURCHAGES	2	Lefff 3.4 ; Unitex DELA français
AFFOURCHEMENT	2	Lefff 3.4 ; Unitex DELA français
AFFOURCHEMENTS	2	Lefff 3.4 ; Unitex DELA français
AFFRANCHISSABLE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFFRITER	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFIBRINOGENEMIE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFIN	3	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AFLATOXINE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFLATOXINES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFROCENTRISTE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AFROCENTRISTES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGATHE	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AGGLO	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AGGLUTINATIF	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AGISME	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AGLAGLA	2	Lefff 3.4 ; Lexique 3.83
AGLYCONE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGLYCONES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGRARISME	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGRARISMES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGREG	2	Unitex DELA français ; Lexique 3.83
AGROBACTERIUM	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGROCARBURANT	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGROCARBURANTS	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGROCHIMISTE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGROCHIMISTES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGROVILLE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AGROVILLES	3	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AICHA	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AID	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AILLOLISA	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAI	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAIENT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAIS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAIT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAMES	2	Lefff 3.4 ; Unitex DELA français
AILLOLISANT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISASSE	2	Lefff 3.4 ; Unitex DELA français
AILLOLISASSENT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISASSES	2	Lefff 3.4 ; Unitex DELA français
AILLOLISASSIEZ	2	Lefff 3.4 ; Unitex DELA français
AILLOLISASSIONS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISAT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISATES	2	Lefff 3.4 ; Unitex DELA français
AILLOLISE	2	Lefff 3.4 ; Unitex DELA français
AILLOLISEE	2	Lefff 3.4 ; Unitex DELA français
AILLOLISEES	2	Lefff 3.4 ; Unitex DELA français
AILLOLISENT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISER	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERA	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERAI	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERAIENT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERAIS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERAIT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERAS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERENT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISEREZ	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERIEZ	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERIONS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERONS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISERONT	2	Lefff 3.4 ; Unitex DELA français
AILLOLISES	2	Lefff 3.4 ; Unitex DELA français
AILLOLISEZ	2	Lefff 3.4 ; Unitex DELA français
AILLOLISIEZ	2	Lefff 3.4 ; Unitex DELA français
AILLOLISIONS	2	Lefff 3.4 ; Unitex DELA français
AILLOLISONS	2	Lefff 3.4 ; Unitex DELA français
AIRBAG	3	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AIRBAGS	3	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AJACCIEN	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
AJACCIENNE	3	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AJACCIENNES	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
AJACCIENS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
AKINETIQUE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AKINETIQUES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ALABANDITE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
